mean,rms,variance,zero_crossings,dominant_frequency,spectral_entropy,signal_length,label,session,segment,frequency_bands
1.417186,1.4194525331972183,0.0064293354040000006,0,0.8,3.3166414718448114,500,mild,mild_session_20251019_105407,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4057890625,1.4060720248488339,0.0007956508178710937,0,3.125,3.0854521819853433,128,mild,mild_session_20251019_105407,7,"{'normal': 1, 'mild': 3, 'severe': 3, 'noise': 56}"
1.454664,1.4547252606592078,0.00017823110400000004,0,50.0,4.244060001775165,500,normal,normal_session_20251017_192854,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4589480000000001,1.4589975640829562,0.00014462529599999996,0,0.4,2.732355038751542,500,normal,normal_session_20251017_192854,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4478959999999998,1.4479426770421542,0.0001351691840000002,0,50.0,2.975254198750371,500,normal,normal_session_20251017_192854,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.445694,1.4457779310807037,0.0002426843640000002,0,50.0,4.291952815778503,500,normal,normal_session_20251017_192854,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.44571,1.4457521744752797,0.00012194590000000016,0,50.0,3.057949400288426,500,normal,normal_session_20251017_192854,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.446816,1.4469073405024941,0.0002643141440000002,0,50.0,4.0366400627040715,500,normal,normal_session_20251017_192854,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.443492,1.4435303917825906,0.00011083793600000027,0,50.0,2.6281211408889944,500,normal,normal_session_20251017_192854,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.875656,2.0083346982014727,0.5153228296639999,0,0.4,1.7110612625845762,500,normal,normal_session_20251019_105311,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.308578,1.3240688388448691,0.040781907916,0,0.4,1.9270622474531436,500,normal,normal_session_20251019_105311,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.527036,1.5270559112226376,6.0810704000000117e-05,0,0.4,3.372557224528121,500,normal,normal_session_20251019_105311,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.5038319999999998,1.5038980949519152,0.0001987957760000002,0,0.4,2.126010805406083,500,normal,normal_session_20251019_105311,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.467788,1.4679382630069975,0.0004411310559999998,0,0.4,3.3503560401291934,500,normal,normal_session_20251019_105311,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.23,1.3433476288734796,0.29168285200000005,0,0.4,1.5215524277272154,500,normal,normal_session_20251019_105311,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.368272,1.3760666989648431,0.021391294015999998,0,0.8,1.8551999484799067,500,normal,normal_session_20251019_105311,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4618623853211006,1.4621494388917216,0.0008393480346772166,0,1.8348623853211008,1.6204588250834684,109,normal,normal_session_20251019_105311,7,"{'normal': 1, 'mild': 2, 'severe': 3, 'noise': 48}"
1.485036,1.4863021644335987,0.0037622027040000033,0,1.6,3.779917439497564,500,severe,severe_session_20251017_193127,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.459602,1.460991272390085,0.004057499596000002,0,1.2000000000000002,3.3500804500137247,500,severe,severe_session_20251017_193127,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4312280000000002,1.4360072409288194,0.013703208016000001,0,0.4,2.6197284061444743,500,severe,severe_session_20251017_193127,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.46142,1.4631763844458399,0.005136715600000001,0,0.4,3.501709417868394,500,severe,severe_session_20251017_193127,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4270639999999999,1.4275379532607881,0.0013529479039999998,0,0.4,5.034714629822244,500,severe,severe_session_20251017_193127,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.431078,1.4319632111196154,0.002534395916,0,0.8,4.493733749106225,500,severe,severe_session_20251017_193127,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.405758,1.4063667921278573,0.0017119994359999998,0,0.4,3.314126270293283,500,severe,severe_session_20251017_193127,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.2612480000000001,1.2670391059474053,0.014641578496,0,0.8,3.673423844970109,500,severe,severe_session_20251019_105447,0,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.428538,1.4336245917254629,0.014558652556000001,0,4.0,3.553780920121143,500,severe,severe_session_20251019_105447,1,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.49095,1.4930978835963837,0.0064093875,0,4.800000000000001,4.265947346453888,500,severe,severe_session_20251019_105447,2,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.475974,1.477403099360496,0.004220669324,0,4.0,4.138493694108466,500,severe,severe_session_20251019_105447,3,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.483198,1.4921578261028556,0.026658670795999997,0,4.0,3.685388548905064,500,severe,severe_session_20251019_105447,4,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.483848,1.4882427772376388,0.013061676896000001,0,4.0,4.054178200013383,500,severe,severe_session_20251019_105447,5,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4698719999999998,1.4718406381127,0.005791167616,0,0.8,4.234826103501432,500,severe,severe_session_20251019_105447,6,"{'normal': 7, 'mild': 10, 'severe': 13, 'noise': 219}"
1.4585142857142859,1.458969505866253,0.001328097414965986,0,3.8095238095238093,2.142823992606826,105,severe,severe_session_20251019_105447,7,"{'normal': 1, 'mild': 2, 'severe': 3, 'noise': 46}"
