timestamp,raw,filtered
1760709526.8973465,1.341,1.44
1760709526.903181,1.317,1.428
1760709526.9086845,1.499,1.435
1760709526.9140322,1.611,1.453
1760709526.919363,1.416,1.449
1760709526.9246924,1.308,1.435
1760709526.9300325,1.457,1.437
1760709526.935363,1.587,1.452
1760709526.940941,1.463,1.453
1760709526.9462717,1.231,1.431
1760709526.9516006,1.474,1.435
1760709526.9569309,1.604,1.452
1760709526.9622757,1.401,1.447
1760709526.9676056,1.202,1.422
1760709526.9729803,1.506,1.431
1760709526.9783099,1.607,1.448
1760709526.983637,1.39,1.443
1760709526.9889653,1.315,1.43
1760709526.9942927,1.521,1.439
1760709527.0001168,1.606,1.456
1760709527.0055413,1.393,1.449
1760709527.0108821,1.184,1.423
1760709527.0162082,1.56,1.437
1760709527.0215108,1.596,1.453
1760709527.0269315,1.391,1.446
1760709527.0323226,1.303,1.432
1760709527.0377758,1.443,1.433
1760709527.043565,1.583,1.448
1760709527.0489755,1.397,1.443
1760709527.0548449,1.282,1.427
1760709527.0604298,1.475,1.432
1760709527.0658813,1.571,1.446
1760709527.0716994,1.383,1.439
1760709527.0777848,1.308,1.426
1760709527.0833054,1.521,1.436
1760709527.0890818,1.533,1.445
1760709527.0944939,1.356,1.436
1760709527.0999734,1.175,1.41
1760709527.1055756,1.411,1.41
1760709527.1113076,1.55,1.424
1760709527.1167672,1.314,1.413
1760709527.1221614,1.324,1.404
1760709527.1280828,1.513,1.415
1760709527.1339223,1.613,1.435
1760709527.1393561,1.427,1.434
1760709527.1447842,1.326,1.423
1760709527.1502025,1.505,1.432
1760709527.1556432,1.591,1.447
1760709527.161106,1.405,1.443
1760709527.1665494,1.297,1.429
1760709527.1721818,1.508,1.437
1760709527.1776066,1.633,1.456
1760709527.1830957,1.351,1.446
1760709527.1887567,1.285,1.43
1760709527.1941767,1.5,1.437
1760709527.200007,1.61,1.454
1760709527.2055316,1.381,1.447
1760709527.2114491,1.309,1.433
1760709527.2168574,1.509,1.44
1760709527.2222717,1.591,1.456
1760709527.2281008,1.409,1.451
1760709527.2335727,1.306,1.436
1760709527.2389715,1.5,1.443
1760709527.2446835,1.523,1.451
1760709527.2505152,1.351,1.441
1760709527.2563403,1.343,1.431
1760709527.2617693,1.551,1.443
1760709527.2672088,1.588,1.457
1760709527.2725527,1.4,1.452
1760709527.2778835,1.336,1.44
1760709527.283273,1.536,1.45
1760709527.2891693,1.621,1.467
1760709527.2945716,1.368,1.457
1760709527.3000054,1.336,1.445
1760709527.305484,1.53,1.453
1760709527.3111653,1.594,1.467
1760709527.316591,1.38,1.459
1760709527.321995,1.332,1.446
1760709527.32757,1.509,1.452
1760709527.3335936,1.599,1.467
